a	một
orange	màu da cam
orbit	quỹ đạo
orchard	vườn cây ăn quả
orchards	những vườn cây ăn trái
ordained	đã thụ phong linh mục
order	ra lệnh, đơn đặt hàng
orderly	trật tự
orders	ra lệnh, đơn đặt hàng
ordinary	bình thường
organ	cơ quan
organization	tổ chức
organizing	đang tổ chức
origin	nguồn gốc
original	nguyên thuỷ, từ dầu, y nguyên
orphan	trẻ mồ côi
orthodox	chánh giáo
ostrich	đà điểu
other	khác
others	những người khác
other's	của những người khác
otherwise	nếu không
ounce	aoxơ (28,35 gram)
our	của chúng tôi
out	ra
outa	(viết tắt) out of: ra khỏi
outbreak	bùng phát
outcome	hậu quả
outdistanced	bỏ xa, vượt xa
outdoor	ngoài trời
outer	bên ngoài
outfit	trang phục
outlaw	cấm
outline	phác thảo
outlined	nêu
outlines	phác thảo
outlook	triển vọng
outrage	sự phẫn nộ
outside	bên ngoài
outsides	bên ngoài
outspoken	thẳng thắn
outstanding	nổi bật
oval	hình bầu dục
ovation	sự hoan hô
over	vượt qua, hơn, trên
overcome	vượt qua
overeat	ăn quá nhiều
overestimate	đánh giá quá cao
overfeeding	ăn quá mức
overflow	tràn qua
overhanging	đang nhô ra bên trên
overhauled	đại tu
overhead	trên đầu
overhear	nghe lỏm
overheat	quá nóng
overlap	chồng chéo lên nhau
overloaded	quá tải
overlook	lờ đi
overlooked	bỏ qua, nhìn qua
overnight	qua đêm
overpass	vượt qua
overpower	chế ngự
overpowering	sự áp phục
overrunning	tràn ngập
overspilling	tràn ra
overtake	vượt quá
overtaken	vượt qua
overthrow	lật đổ
overthrowing	đang lật đổ
overthrown	đã lật đổ
overture	khởi sự
overturning	đảo lộn
overwhelm	tràn ngập
owe	nợ
owl	con cú
own	làm chủ, riêng tư
owners'	của chủ
oxygen	ôxy
oyster	sò
pace	tốc độ
pack	đóng gói, gói
packed	đã đóng gói
packing	đang đóng gói
packs	những gói
pads	miếng đệm
paid	thanh toán
pail	thùng
pain	đau
pain killer	thuốc giảm đau
painful	đau đớn
painfully	một cách đau đớn
pains	những cơn đau
painstakingly	tỉ mỉ, công phu
paint	sơn
painter	họa sĩ
pair	đôi
pajamas	bộ đồ ngủ
palace	cung điện
pale	nhạt, tái
paled	rào lại
pall	vải phủ quan tài, làm chán
palm	bàn tay
palmated	như bàn tay
palpitant	rung động, cảm nhận
pampered	đã nuông chiều
pandemonium	nơi hỗn loạn
pangs	những nổi giằn vặt, day dứt
panic	hoảng kinh
pans	chảo
pant	thở hổn hển
panther	con beo
panting	đang thở hổn hển
pants	quần
paper	giấy
paperwork	thủ tục giấy tờ
parade	duyệt binh
paradise	thiên đường
paradox	nghịch lý
parallel	song song
parasite	ký sinh trùng
parcels	phẩm, bưu kiện
parch	làm khô nẻ
parched	khô cằn
pare	gọt vỏ
parent	cha mẹ
park	công viên
parking lot	nơi đậu xe
paroxysms	nổ bùng, bộc phát bất ngờ
parrot	con vẹt
part	một phần
part-grown	phần phát triển
participate	tham gia
particle	hạt
particular	riêng biệt
particularly	một cách đặc biệt
partly	một phần
partner	đối tác
partners	đối tác
partnership	công ty, quan hệ đối tác hùng hạp
partridges	gà gô
parts	những bộ phận
party	tiệc
pass	qua
passage	đi qua
passanger	hành khách
passed	đã thông qua/đạt, đã đi qua
passes	qua
passing	đang đi qua
passion	niềm đam mê
passionate	đam mê
passive	thụ động, bị động
passiveness	sự thụ động
passport	hộ chiếu
past	qua
paste	dán
pastor	mục sư
pastry	bánh ngọt
pasture	đồng cỏ
pastures	những đồng cỏ
pat	vỗ nhẹ, vỗ về
patches	các mảnh vá
paternal	về đằng nội
path	con đường
pathetic	cảm động
patience	kiên nhẫn
patient	bệnh nhân
patriot	người yêu nước
patron	người bảo trợ
patted	đã vỗ nhẹ
pattern	mô hình
pause	tạm dừng
paused	dừng lại
pave	lát
pawn	quân tốt đen
paws	những bàn chân
pay	trả tiền
pay back	trả lại
pea	hạt đậu
peace	hòa bình
peach	đào
peacock	con công
peak	cao điểm
peaks	đỉnh
peanut	đậu phộng
pear	quả lê
pearl	ngọc trai
pebble	đá cuội
peck	mổ
peculiar	lạ lùng
peculiarity	sự lạ lùng
peculiarly	đặc biệt
pedestrian	người đi bộ
pediatrician	bác sĩ nhi khoa
peel	vỏ
peep	nhìn hé
peer	người cùng lứa
peered	đã nhìn chăm chú
pellets	những viên
pell-mell	lộn xộn
penal	hình sự
penalty	hình phạt
penance	ăn năn
pencil	bút chì
pending	chưa giải quyết
penetrate	xuyên qua
penetrated	thâm nhập
peninsula	bán đảo
penisular	dân ở bán đảo
pension	lương hưu
pent	bị đóng
pentition	kiến nghị
people	người dân
pepper	tiêu
pepper-boxes	đầy lổ, hộp tiêu
perambulating	đi xuyên qua (để xem xét)
perceived	nhận thức
perceiving	cảm nhận
percent	phần trăm
percentage	tỷ lệ phần trăm
percentile	phân vị
perceptibly	cảm nhận
perches	đậu
percussion	chuyển động
peremptorily	cưỡng bách, độc tài, độc đoán, dứt khoát, kiên quyết
perfect	hoàn hảo
perform	thực hiện
performance	diễn xuất
performed	thực hiện
perfume	hương thơm
perhaps	có lẽ
peril	nguy hiểm
period	giai đoạn
periods	những thời đoạn
perish	bỏ mạng
permanent	vĩnh viễn
permit	Giấy phép
permitted	được phép
permitting	cho phép
perpendicular	vuông góc
perpetual	không ngừng, luôn, suốt, vĩnh viễn
perplexed	lộn xộn
persist	kiên gan
persisted	tồn tại
persistent	khăng khăng
personal	riêng tư
perspective	khía cạnh
pertinacity	tánh bướng bỉnh
pervaded	đã xâm nhập
pervert	người hư hỏng
pessimistic	bi quan
pest	loài gây hại
pesticide	thuốc trừ sâu
pet	thú cưng
petal	cánh hoa
petition	kiến nghị
petrify	phong hóa
petted	vuốt ve
petty	nhỏ
pevert	xuyên tạc
phantom	ma
pharmacist	dược sĩ
pharmacy	dược
phase	giai đoạn
pheasant	chim trĩ
philosophy	triết học
phobia	nỗi sợ hãi
phoenix	phượng hoàng
photo	ảnh
photograph	chụp ảnh
phrase	cụm từ
physical	thể chất
physician	bác sĩ
physics	vật lý
pick	chọn
pick pocket	kẻ móc túi
picked	đã chọn
picking	chọn
pickpocket	kẻ móc túi
picnic	đi dã ngoại
picture	hình ảnh
piece	mảnh, miếng
pieces	những miếng
pier	bến tàu
pierce	đâm vào
pig	con lợn
pigeon	chim bồ câu
pigment	sắc tố
pike	cây giáo
pile	cọc
piled	xếp thành đống
pill	thuốc viên
pillar	trụ cột
pillow	gối
pilot	phi công
pinch	véo
pine	cây thông
pines	cây thông
pink	màu hồng
pipe	ống
pipes	ống
pirate	cướp biển
pistol-shot	tiếng súng lục
pit	hố
pitch	sân
pitched	đã pitched
pitcher	bình
pitiful	đáng thương
pity	đáng tiếc
pivot	trục đứng
pivoting	sự xoay
placatingly	một cách placatingly
place	nơi
placed	đã đặt
placer	chất khoáng trên đất cát
places	những nơi
plagiarism	sao chép
plain	đồng bằng, đơn giản
plainly	một cách ngay thẳng, bộc trực
plaint	đơn thưa kiện
plan	kế hoạch
plane	máy bay
plank	phiến gỗ
plant	cây
plaster	thạch cao
plate	đĩa
platform	bệ
play	chơi
played	đã chơi
player	người chơi
playfully	tinh nghịch
plays	đóng, chơi
plea	lời cầu xin
plead	nài xin
pleaded	đã nài xin
pleading	đang nài xin
pleasant	dễ chịu
please	làm ơn
pleased	hài lòng
pledge	cam kết
plenty	nhiều
plethoric	thặng dư
plight	hoàn cảnh khó khăn
plot	âm mưu
ploughed	đã cày
plow	cày
pluck	nhổ lông
plum	mận
plunge	lao vào
plunged	đã - giảm, lao vào, lao xuống
plunging	đang - giảm, lao vào, lao xuống
plural	số nhiều
plus	thêm
pneumonia	viêm phổi
pocket	túi
poem	bài thơ
poet	nhà thơ
point	điểm
pointed	đã chỉ
pointedly	thẳng thừng; chua cay
pointers	con trỏ
pointing	đang chỉ
pointless	vô nghĩa
points	điểm, trỏ
poise	sự cân bằng, lơ lửng
poised	đã sẵn sàng, dừng
poison	chất độc
poke	thọc
poked	đã chọc
polar	địa cực
pole	cực, cắm cột, chống bằng cột, (người Ba Lan)
poled	thuộc cột dựng đứng
police	cảnh sát, công an
policeman	cảnh sát
policy	chính sách
poling-boat	thuyền có cột đứng
polish	đánh bóng
polite	lịch sự
politeness	sự lể phép
political	chính trị
politician	chính trị gia
poll	thăm dò ý kiến
pollen	phấn hoa
pollutant	chất gây ô nhiễm
pollute	gây ô nhiễm
pompous	kiêu ngạo
pond	ao
ponder	suy ngẫm
pool	hồ bơi
pools	hồ bơi
poor	nghèo
poorer	nghèo hơn
poplars	những cây dương
popular	phổ biến
population	dân số
populous	đông dân
porcupine	con nhím
pork	thịt lợn
port	cảng
portable	di động
portal	cổng
porter	bia đen
portion	phần
portrait	chân dung
pose	đưa ra
position	vị trí
positive	tích cực
possess	có
possessed	đã sở hữu
possession	sự sở hữu
possibility	khả năng
possible	có thể
possiblity	khả năng
possibly	một cách có thể
post	đăng
post office	bưu điện
post war	sau chiến tranh
postcard	bưu thiếp
posterior	sau
posterity	con cháu
postpone	hoãn
postscript	tái bút
postulate	định đề
posture	tư thế
pot	bình
potato	khoai tây
potent	hiệu lực, mạnh
potential	tiềm năng
pottery	gốm
pouch	túi
pouch-strings	giây thắt túi
poultry	gia cầm
pounce	tấn công bất ngờ
pound	pao (450 gam), nện
pounded	đã - đập, nện
pounding	sự nghiền nát, sự nện đập
pounds	những pao
pour	rót, đổ
poured	đổ
poverty	nghèo đói
powder	bột
powdery	như bụi/bột
power	quyền lực
powerful	mạnh mẽ
powerfully	mạnh mẽ
powerless	bất lực
practical	thực tế
practically	thực tế
practice	thực hành
practised	đã tập luyện
prairie	đồng cỏ
praise	khen ngợi
prance	đi vênh váo
prank	trò đùa
pray	cầu nguyện
prayed	đã cầu nguyện
preach	giảng
preaching	rao giảng
preamble	lời nói đầu
prearrange	thu xếp trước, chuẩn bị trước
precede	đến trước
precept	châm ngôn
precession	sự tiến động
precinct	ranh giới
precious	quý giá
precipitate	làm - kết tủa, mau đến
precise	chính xác
preclude	loại trừ
predecessor	người tiền nhiệm
predicate	khẳng định
predict	dự đoán
preeminently	một cách - xuất sắc, ưu việt
prefer	thích
preferred	ưa thích
prefix	tiền tố
pregnant	mang thai
prejudice	thành kiến
prejudices	định kiến
preliminary	cơ bản
prelude	mở đầu
premature	sớm
premier	hàng đầu
premium	phí bảo hiểm
prepare	chuẩn bị
prepared	đã chuẩn bị
preparing	chuẩn bị
preposition	giới từ
prescribe	quy định
prescription	đơn thuốc
presence	hiện diện
present	trình bày
presenting	trình bày
presently	hiện nay
preserve	bảo quản
preserver	bảo quản
president	Chủ tịch
press	báo chí
pressed	đã ép
pressing	nhấn
pressure	áp lực
prestige	uy tín
presume	cho là
pretend	giả vờ
pretty	khá
prevent	ngăn chặn
prevented	ngăn chặn
preview	duyệt trước
previous	trước
prey	con mồi
preyed	mồi
preying	săn
price	giá cả
pricked	bị đâm
prickle	có cảm giác kim châm
pride	kiêu hãnh
prided	đã tự hào
priest	linh mục
primary	tiểu học
prime	quan trọng nhất
prime minister	Thủ tướng
primeval	thái cổ, nguyên thủy
primitive	ban sơ, thô sơ, cổ xưa
primordial	ban sơ
prince	hoàng tử
princess	công chúa
principal	chính
principally	chủ yếu
principle	nguyên tắc
print	chữ in
prints	in
prior	trước
priority	ưu tiên
prison	nhà tù
privacy	riêng tư
private	riêng tư
private life	cuộc sống riêng tư
private school	trường tư
privilege	đặc quyền
prize	giải thưởng
probability	xác suất
probation	tập sự
problem	vấn đề
proceed	tiến hành
proceeded	đã tiến hành
proceeding	tiến hành
proceeds	tiền thu được
process	quá trình
proclaim	công bố
proclaimed	công bố
proclaiming	công bố
prodded	thúc giục
produce	sản xuất
producer	sản xuất
professional	chuyên nghiệp
professor	Giáo sư
profit	lợi nhuận
profound	sâu
progeny	con cháu
program	chương trình
progress	(sự) tiến bộ
prohibit	cấm
project	dự án
projected	đã dự
prolong	kéo dài
prolonged	kéo dài
prominent	nổi bật
promise	lời hứa
promises	hứa hẹn
promote	thúc đẩy
prompt	đúng hẹn, nhanh nhẩu; nhắc nhở
prompting	thúc đẩy
promptly	một cách - kịp thời, nhanh chóng
prone	nghiêng về, dể bị
pronounce	phát âm
proof	bằng chứng
propel	đẩy
propelled	đã đẩy
propeller	cánh quạt
proper	riêng
property	tài sản
proportion	tỷ lệ
proportions	tỷ lệ
propose	đề xuất
prosecute	truy tố
prosecutor	công tố viên
prospect	viễn cảnh
prosper	thịnh vượng, phát đạt
prospered	đã - phát đạt, thành công
prosperous	thịnh vượng
prostitute	mại dâm
prostrate	nằm sóng soài; làm kiệt sức
protect	bảo vệ
protected	đã bảo vệ
protection	sự bảo vệ
protest	phản đối
protested	phản đối
protruded	nhô ra
protruding	nhô ra
proud	tự hào
proudly	tự hào
prove	chứng minh
proved	chứng minh
provide	cung cấp
provision	cung cấp
provocation	sự chọc ghẹo
provoke	kích động
prowess	sức mạnh, oai phong
prowled	lảng vảng
prudent	khôn ngoan
pry	nâng lên; tò mò; dọ dẵm
ptarmigan	chim thuộc loại gà có lông sắc đen
puberty	tuổi dậy thì
public	công khai
public hearing	phiên tòa công khai
public school	trường công
publication	công bố
puddle	vũng nước nhỏ
pug	chó mặt bẹt
pull	kéo
pulled	đã kéo
pulling	đang kéo
pullman	toa xe lửa hạng sang có chổ ngủ
pulse	xung
pumping	đang bơm
pumpkin	bí đỏ
punctual	đúng giờ
punctuation mark	ấu chấm câu
punish	phạt
punished	đã bị trừng phạt
punishment	trừng phạt
pupil	học sinh
puppet	con rối
puppy	con cún
purchase	mua
pure	tinh khiết
pure bred	thuần chủng, không lai
purebred	thuần chủng
purify	làm sạch
purple	màu tía
purpose	mục đích
purposed	đã có mục tiêu
purposely	một cách cố ý
purse	ví (nữ)
pursue	theo đuổi
pursued	theo đuổi
pursuit	theo đuổi
push	đẩy
pushed	đã đẩy
put	đặt
putting	đang đặt
puzzle	câu đố
puzzled	đã bối rối
quail	nữ sinh viên
quality	chất lượng
quantity	số lượng
quarrel	cãi nhau
quarrelled	đã cãi nhau
quarrelling	đang cãi nhau
quarry	mồi
quarter	quý
quarters	những quý, phần tư, (nghỉa bóng "no quarters": không nhường)
quaver	người ca run
queen	nữ hoàng
queer	lạ lùng
quest	nhiệm vụ
question	câu hỏi
quibble	không phân minh
quick	mau
quickened	đã làm nhanh hơn
quickly	mau
quickness	tính mau chóng
quiet	yên tĩnh
quietly	lặng lẽ
quill	lông chim
quilt	may chăn
quit	bỏ
quite	khá
quivered	đã run lên
quivering	đang run rẩy
quiz	kỳ thi vấn đáp
quotation mark	dấu ngoặc kép
quote	Trích dẫn
quoth	đã nói (từ cổ)
quoting	đang trích dẫn
rabbit	thỏ
race	chủng tộc; (cuộc) đua
raced	đã chạy đua
races	những chủng tộc, tranh đua
racial	thuộc về chủng tộc
rack	cái giá
radiate	tỏa
radical	cấp tiến
radio	ra đi ô
radioactive	phóng xạ
radius	bán kính
raft	cái bè
rafted	cái bè
rag	giẻ
rage	cơn thịnh nộ
raged	đã phẩn nộ
ragged	đã tả tơi
raging	đang phẩn nộ
raid	cuộc đột kích
rail	lan can
railroad	đường sắt
railway	đường sắt
rain	mưa
raincoat	áo mưa
raise	nâng cao
raised	đã - nâng lên/nuôi nấng
raisin	nho khô
raisins	nho khô
rake	cào
rally	cuộc biểu tình
ram	húc đầu
ramble	đi dạo chơi
rampage	nổi xung
rampant	hung hăng; lan tràn
ramshackle	xiêu vẹo, đổ nát, củ kỷ
ran	đã chạy
ranch	trang trại
random	ngẫu nhiên
rang	vang
range	phạm vi, tầm
ranged	trong - phạm vi, tầm
