Term	Definition
bóp 	squeeze, tighten
bóp cố	throttle
bóp méo	distort
bốt	boots
bớt	reduce
bột	batter, flour, powder
bọt 	foam
bột nhào	dough
bù	compensate, repay for
bu 	gather
bù nhìn	scarecrow
búa	hammer, axe
bừa	to rake; being rash, easy-going
bữa	meal; a session of 
bữa 	session
bữa ăn	meal
bữa ăn nhẹ	snack
bữa ăn sáng	breakfast
bữa ăn tối	dinner, supper
bữa ăn trưa	lunch
bùa hộ mệnh	amulet
bức	picture (classifier); to force
bực	upset, annoyed
bực mình	annoyed
bức tường	wall
bụi	dust, dusty
bụi rậm	bush, undergrowth
bulô	birch
bu-lông	bolt
bumơrang	boomerang
bùn	mud
bung	expand as a spring
bủng	limp, flabby, sallow
bưng	mangrove swamp; to carry, to cup in one's hand
bụng	belly, abdomen
bừng	flare brightly, to turn suddenly red hot; to wake suddenly
bùng nố	boom
bùng phát	outbreak
buộc	fasten
bước	walk, step
buộc 	tie, obligate
bước chân	footstep
buộc tội	accuse
buối	session, (unique classifier for time related session) 
buối chiều	afternoon
buối hòa nhạc	concert
buối họp kín	secret meeting
buối sáng	morning
buối tối	evening
buồm	sail
bươm	shreds, tattered
bướm	butterfly
bướm đêm	moth
buôn	to sell, to trade
buồn	sad, upset
buồn bã	sullen
buồn chán	doldrum
buôn lậu	smuggle
buồn rầu	depressing
buông	let go, let down, to drop
búp	sprout
búp bê	doll
bút	writing device (pen, pencil..)
bút 	pen
bút chì	pencil
bưu điện	post office
bưu kiện	parcel of good
bưu kiện 	parcels
bưu phẩm gửi bằng đường hành không	airmail
bưu thiếp	postcard
ca	chant, sing
cá	fish
cà	tomato
cả	all, entire
cá chép	carp
cả cuộc đời	lifetime
cả hai	both
cá heo	dolphin
cá hồi	salmon
cá mập	shark
ca ngợi	acclaim, praise
cá ngừ	tuna
cả nhà	whole house/family
cá nhân	individual, personal
cá nóc	blowfish
cá ông	whale
cà rốt	carrot
cá sấu	crocodile, alligator
ca sỹ	singer
cá thu	mackerel
cá trê	catfish
ca tụng	praise repeatedly
cá tuyết	cod
cá vàng	goldfish
cá voi 	whale
các	plural (indicator), multiple, more than one
các anh em	the brothers
các bà mẹ	the mothers
các bon	carbon
các chân	the legs
các đầu gối	the knees
các loại	the kinds, types
các mảnh vá	the patches
các mỏ	the mines
các nước 	the juices
cách	way, method; distance from
cách chức	depose
cách diễn tả	diction
cách lập luận	argumentation
cách ly	isolate
cách này hay cách khác	somehow
cách ngôn	aphorism
cách nhiệt	insulation
cách phát âm rõ ràng	articulatory
cách thức	mode
cai	rule, jailkeeper, warden; to give up
cái	the (for things), unique classifier for objects
cãi	argue, dispute
cải	cabbage; to reform
cái ác	the evil
cái áo choàng	robe
cái bát	the bowl
cái bồn chứa	tank
cải cách	modernize, change, reform
cái cân	weighing scale
cái cặp	bag, briefcase
cái cầu	bridge
cái cây	tree
cái chắn bùn	the dashboard
cái chết	death
cái chốt	detent
cái chuồng	stable, kennel
cái cố họng	throat
cái cưa	the saw
cái cửa	door
cài đặt	install
cái đinh	the nail
cái đó	that
cái đồ đựng	the container
cái đói	the starvation, hunger
cái đục	the chisel
cái dùi	the awl
cái đùi	thigh
cái đuôi	tail
cái gạt tàn	the ashtray
cái gáy	the scruff
cái gậy	walking stick
cái gì	what
cái giá	the rack
cái hàm răng	jaw
cái hông	hip
cái kén	cocoon
cái kéo	the scissor
cái kẹp	the clamp, the clip
cái kìm	the nip
cãi lộn	altercate
cái lưỡi	tongue
cái mái che	the roof
cái móc	the hook
cái môi	lips
cái nạng	the crutch
cái nào	which
cái này	this
cãi nhau	bicker, quarrel
cải nhau	spat, argue
cái nhìn thoáng qua	glimpse
cái nôi	the cradle
cái phanh	the brake
cái phễu	the funnel
cái răng	tooth
cái ruy băng	ribbon
cái song chắn	bar
cải thiện	improve
cái thùng gố	crate
cái tố	nest
cái tôi	the ego
cải trang	disguise
cai trị	reign, govern
cái ví	purse, wallet
cái xẻng	scoop
cái xô	pail, bucket
cái xương	bone
cái xương sườn	rib
cái yếm	bib
cam	orange color; orange fruit
cám	bran
câm	dumb
cấm	ban, forbid, prohibit
cầm	hold 
cắm	plug
cằm	chin
cảm	feel, feeling a cold
cặm	to fix; to plant
cắm 	plug, to stake/pitch
cắm cột	pole
cam đoan	assure
cảm động	pathetic
cảm giác	sensation
cảm giác bất an	disquietude
cầm giữ	hold
cảm hứng	inspiration
cam kết	commit, pledge
cảm ơn	thank
cảm ơn bạn	thank you
cảm thấy	feel
cầm tù	hold in prison, imprison
cảm xúc	feeling, emotion
cán	handle, a staff(stick); to roll into thin layers
càn	raid, to mop up
cân	scale, weigh
cần	need
cắn	bite
cản	to prevent, to stop, to bar
cẩn	to inlay (decoration)
cạn	shallow
cặn bã	scum
căn bản	basal
cân bằng	balance
cán chổi	broomstick
căn cứ	base (on)
can đảm	bravery, courage
căn nhà nhỏ	cottages
cằn nhằn 	grumbling
cắn nhẹ	nip
cẩn thận	careful
cận thị	nearsighted
can thiệp	interfere, meddle
cần thiết	necessary
cắn xé	mangled
cáng	stretcher
càng	more
căng	strained
cảng	dock, port
cẳng	shank, leg
càng 	the more…(verb); claw
căng 	strained, stretch
cảng biển	seaport
càng nhiều	the more
căng ra	stretch
căng thẳng 	tense, stress, stretch straight
căng thẳng cao độ	high-strung, intense
căng tin	cafeteria
canh	broth
cánh	wing
cành	branch
cảnh	scene
cạnh	edge, next to
cảnh 	scene, sight
cạnh 	edge, next to
cảnh báo	warn, caution, alert
cành cây	branch of tree
cạnh giường	bedside
cánh hoa	petal
cảnh quan	sight, landscape
cánh quạt 	propeller
cánh quạt chân vịt 	propeller blades
cảnh sát	sheriff, policeman
canh tác	cultivate
cánh tay	arm
cạnh tranh	compete, competitive
cạnh, rìa, viền	edge
canxi	calcium
cao	high, tall
cào	scratched, rake
cạo	scrape
cao cấp	senior
cao cấp hơn	superior
cao điểm	peak
cáo lỗi	apologize
cạo râu	shave
cao su	rubber
cao thượng	noble
cấp	level
cắp	theft
cập	to land, to draw up alongside
cặp	pair
cấp 	level
cập 	pull next to
cấp cho	provide to
cập nhật	update, gather information
cặp tài liệu	briefcase
cấp tiến	radical
cấp tính	acute
cặp vợ chồng	couple
cặp vợ chồng kết hôn	married couple
Carbohydrat	carbohydrate
cát	sand
cất	distilled; put away
cắt	cut
cắt bao quy đầu	circumcise
cắt bỏ	ablate
cất cánh	take off
cắt cụt	amputate
cắt giảm	slash off, reduce
cáu	angry
câu	to fish; a sentence; a dove
cấu	to claw, nip
cầu	plead, globe; a bridge
cậu	uncle (mother's younger brother)
câu 	sentence
câu chuyện	tale
cau có	frown, scowl
câu đố	puzzle
câu hỏi	question
cáu kỉnh	irritable
câu lạc bộ	club
cau mày	frown
cầu nguyện	pray
càu nhàu 	grumble
cầu tàu	wharf
cầu thang	stair
câu trả lời	answer
cay	spicy
cáy	fiddler crab; timid (as a rabbit)
cày	plow
cây	tree, plant, (unique classifier of stick like object)
cấy	transplant; grow rice, to farm, to culture
cầy	dog-meat
cậy	dependable
cay 	hot, spicy
cây ăn quả	fruit tree
cây ăn sâu bọ	carnivore
cầy cấy	farming
cây cung	bow
cay đắng	spicy and bitter, negatively bitter feeling
cây dương	poplar
cây dương tía	alder
cây gậy	the stick
cây giáo	pike
cây húng quế	basil
cây liễu	willow
cây ngải đắng	absinthe
cây ngưu bàng	burdock
cây nhung tuyết	edelweiss
cây ô rô	acanthus
cây óc chó	walnut
cây thông	pine
cây thủy tiên hoa vàng	daffodil
cây tre	bamboo
cây trồng	crop
cây xương rồng	cactus
cay, nóng	hot
cha	father
chà	rub, scrape, expression: Oh, well!
chả	grilled chopped meat/fish/shrimp
chạ	promiscuous
cha đỡ đầu	godfather
cha mẹ 	father mother, parents
cha tôi 	my father
chắc	probably(with uncertainty when in front of adjective), sure(when at the end)
chắc chắn	sure
chai	bottle
chái	lean-to, hip of roof
chải	comb, brush
châm	prick
chăm	diligent, care for
chấm	a dot; to grade
chạm	touch, carve, sculpt
chậm	slow
chăm 	take care, diligent
chạm 	touch
châm biếm	satire
chằm chằm	glare, intently
chậm chạp	sluggish
chăm chú	intent focus
chấm dứt	terminate
chậm hơn	slower
châm ngôn	adage, proverb, precept
chăm sóc	care
chậm trễ	delay
chạm, sờ	touch
chan	pour (liquid food) over…
chán	bore, lose interest
chân	leg
chăn	blanket
chắn	block, to bar, to obstruct, to stop
chẩn	diagnosis
chặn	blockade
chán 	bored
chắn 	sure
chặn 	block
chăn bò	cow herding
chẩn đoán	diagnose
chẩn đoán được	diagnosable
chấn động	concussion, commotion
chân dung	portrait
chân không	barefoot
chán ngắt	wearisome
chân tay	limb
chăn trâu	buffalo herding
chân trời	horizon
chăng	reasonable?
chẳng	don't, not
chạng	stand astride with legs a bit spread out
chàng 	he/you(male) (literary romantic)
chăng 	(question expression)
chang chang	blazing heat
chằng chịt 	interlaced, interweave
chẳng quản khó nhọc	tireless
chánh	head, chief, main
chao	soya cheese; rock, swing; expression: Oh
cháo	porridge
chào	invite, greet, hello, salute
chào bán	sale offer
chào mừng	welcome
chào tạm biệt	adieu
chấp	to give someone and edge in competition; to accept, grant; to resent, to have grudge against
chắp	folded, join; to clasp (the two hands)
chạp	twelfth month, last month
chập	 fasten together, to twist together
chấp nhận	accept, acknowledge
chấp nhận được	admissible, acceptable
chát	tart
chất	nature; substance, matter; to heap, to pile
chắt	great-grandchildren
chật	tight, lack of space
chặt	to chop
chất 	(chemical) nature
chật 	tight
chất ăn bố	nutriment
chất béo	fat
chặt chẽ	tight
chật chội 	cramped
chất dẫn	conductor
chất dinh dưỡng	nutrient
chất độc	poison
chất đống	to stack
chất gây ô nhiễm	pollutant
chất giảm vận động	depressor
chất keo	adhesive
chất kết dính	adhesive
chất khử mùi	deodorant
chất khử trùng	antiseptic
chất làm giảm độ axit	antacid
chất lỏng	fluid
chất lượng	quality
chất phun	aerosol
chất tẩy rửa	detergent
chất thải	wastes
chất thơm	aromatic
chất xúc tác	catalyst
cháu	niece/nephew
châu	continent
chầu	round, bout, session, period of time
Châu Á	Asia
châu âu	Europe(an)
châu chấu	locust
cháu gái	niece
cháu ngoại	grand children (daughter's children)
cháu nội	grand children (son's children)
cháu trai	nephew
cháy	burned, fire
chày	rice/food-pounding pestle
chảy	flow
chạy	run
chảy 	flow
chạy bộ	jog
chảy máu	bleed
chạy nước rút	sprint
chạy trốn	flee
chạy vụt ra	fling
che	cover, shade
chè	tea, sweet dessert
chê	belittle, put down
chế	prepare, manufacture, invent
chẻ	split
chê bai	to speak scornfully of, to disparage
che đậy	covert, obscure
chế độ ăn uống	diet
chế độ chuyên quyền	autocracy
chế độ quý tộc	aristocracy
che giấu	conceal
che lấp 	cover
chế ngự	overpower
chế nhạo	ridicule, taunt
che phủ	cover
chém	guillotine slash
chen	squeeze to get in
chèn	insert
chen lấn	push and shove
chênh lệch	differential
chểnh mảng	neglect
chéo	diagonal
chèo	to row; a traditional operetta
cheo leo	cliff
chép	copy
chết	die, dead
chết 	die, death
chết đuối	drown
chi	to spend; limb, leg
chí	head louse; will, ambition
chì	lead (metal); tough(slang)
chỉ	merely, only, show; a thread
chị	elder sister(level) female, 1st 2nd person female
chi 	payable
chị dâu	older sister in law
chị em	sisters
chị em họ	female cousins
chị gái	older sister
chỉ một	only one
chi nhánh	branch
chi phí	cost, expense
chỉ ra	indicate
chỉ số	index
chi tiết	detail
chỉ tơ	thread
chỉ trích	criticize
chia	divide, share
chìa	key-like object; to stretch out and show
chia đôi	divide in two
chia được	divisible
chìa khóa	key
chia sẻ	share
chia tay	break-up
chích chòe	magpie
chiếc	single, (unique classifier for an item of a set)
chiếc giày	shoe
chiếc phà	ferry
chiếm 	occupy, capture, take possession
chiếm đoạt	despoil
chiếm hữu 	occupy, capture, take possession
chiêm niệm	contemplate
chiếm ưu thế	dominant
chiến	war, fight
chiến 	fight, war
chiến đấu	combat, fight
chiến dịch	campaign
chiến sĩ	fighter
chiến thắng	victory
chiến tranh	war
chiến trường	battlefield
chiết xuất	extract
chiêu	to recruit
chiếu	a straw mat, project (picture) with light
chiều	afternoon 
chiếu 	projection, shine
chiều cao	height
chiều dài	length
chiêu đãi viên	waiter
chiều kim đồng hồ	clockwise
chiều rộng	width
chiếu sáng	illuminate
chiều sâu	depth
chim	bird
chìm	to sink
chim bồ câu	pigeon, dove
chim hải âu	seagull
chim hoàng yến	canary
chim sẻ	sparrow
chim sơn ca	bluebird
chim trĩ	pheasant
chim ưng	eagle, hawk
chín	nine, 9; ripe
chín mươi	ninety
chính	main, major, principal
chỉnh	to correct, to lecture and correct
chính anh ta	himself
chính giữa	in the middle of
chính họ	themselves
chỉnh lại	changeover
chính người	he himself
chính nó	itself
chính ông ấy	himself
chính phủ	government
chinh phục	conquer
chính sách	policy
chỉnh sửa	cobble
chính thức	official, formal
chính trị	political
chính trị gia	politician
chính xác	accurate, exact, precise
chíp	chip
chịu	to sustain, to bear, to accept
chịu 	subject to
chịu đựng	endured
chịu đựng 	bear, put up with
chịu đựng được	tolerable
chịu được	endure
chịu tốn thất	suffer loss
chịu trách nhiệm	liable
cho	for; to give, to indicate
chó	dog
chỗ	place
chớ	do not
chờ	wait
chở	transport
chợ	market
cho con 	for child(role, person)
chó dẫn đầu	lead-dog
cho đến khi	until
chờ đợi	wait
chó Ét-ki-mô	husky
chờ kết chuyển	deferred
cho là	presume
chó mặt bẹt	pug
cho mẹ 	for mother
chỗ ngồi	seat
chó nhà	house-dog
chỗ ở	accomodation
cho ông	for him
cho ông rằng	for him that
cho phép	to let, allow
chổ phỏng	scald
chỗ rộp da	blister
chó săn	hound, hunting dog
chó sói	wolf
cho thuê	lease
chỗ trốn	hiding place
cho vay	lend
choang	very bright, brightly-lit
choáng váng 	dizziness, stunned
chốc	moment, instant, while
chọc 	poke
chọc thủng	breakage
chòi	cabin
chối	broom
chồi	bud
chơi	play
chơi 	play
chơi giởn	trifle
chơi khăm 	hoax, play trick
chơi nhạc	play music
chơi rong	to loaf
chòm	grove, thicket, tuft; constellation (of stars)
chồm	to prance, to spring up
chỏm	apex
chôn	to bury
chốn	a place
chọn	pick, choose, select
chôn cất	burial
chóng	fast, rapid, quick
chống	resist against(military), stand up against (post hold up roof)
chồng	husband, to stack
chóng 	rapidly
chống 	fight against
chồng bà	her/your husband
chống bằng cột	pole
chồng chéo	overlap
chống cự 	resist, defend against
chóng khỏi 	quickly recover
chống lại	resist against
chống toát mồ hôi	antiperspirant
chóp	peak, tip
chớp	blink
chớp 	blink
chớp nhoáng 	lightning, in a split moment
chợt	suddenly
chú	uncle (father's younger brother)
chủ	master, lord
chứ	rather than
chữ	word
chú 	uncle, he, (sometime: explain phrases)
chứ 	but
chữ 	word
chú bác	uncles
chủ đề	topic
chữ in	print
chu kỳ	cycle
chữ ký	autograph
chủ nghĩa giáo điều	dogmatism
chủ nghĩa tích cực	activism
chủ nhà	host, landlord
chủ nợ	creditor
chú rể	the groom
chủ tịch	chairman
chữ tốt	good language knowledge
chữ viết tay	handwriting
chú ý	attention
chủ ý	intent
chua	sour
Chúa	God
chùa	temple
chưa	not yet
chứa	to contain
chừa	leave, spare, give up
chữa	to cure, to treat, to correct, to repair
chua 	sour
chữa bệnh	cure, medical treatment
chưa chín	raw
chưa giải quyết	pending
chưa khai hóa	barbarous
chúa tể	lord
Chúa Thánh Thần	The Holy Spirit
chưa?	yet?
chuẩn bị	prepare
chuẩn bị trước	prearrange
chúc	wish
chức	title, official
chực	stand by
chúc mừng	congratulate
chức năng	function
chúc sức khỏe	cheers
chúi	dive, bend one's head forward
chùi	wipe
chửi	curse
chửi 	curse
chửi thề 	swearing
chum	large clay jar/container (waist high)
chùm	beam
chụm	to huddle, to bunch, to gather; to light a fire
chung	join, together; in general, in common
chúng	they, (group prefix for us/we/they)
chủng	to vaccinate, to inoculate; type of (noun)
chứng	evidence, proof, nature
chừng	about, rough estimate
chứng 	proof
chứng cứ ngoại phạm	alibi
chứng mất ngôn ngữ	aphasia
chứng minh	prove, demonstrate
chứng minh được	can be proven
chúng nó	they
chung sống	living together
chúng ta	us
chứng thư	deed
chứng thực	endorse
